,title,price,rating,availability
0,A Light in the Attic,51.77,3,True
1,Tipping the Velvet,53.74,1,True
2,Soumission,50.1,1,True
3,Sharp Objects,47.82,4,True
4,Sapiens: A Brief History of Humankind,54.23,5,True
5,The Requiem Red,22.65,1,True
6,The Dirty Little Secrets of Getting Your Dream Job,33.34,4,True
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,True
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,True
9,The Black Maria,52.15,1,True
10,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,True
11,Shakespeare's Sonnets,20.66,4,True
12,Set Me Free,17.46,5,True
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,True
14,Rip it Up and Start Again,35.02,5,True
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,True
16,Olio,23.88,1,True
17,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,True
18,Libertarianism for Beginners,51.33,2,True
19,It's Only the Himalayas,45.17,2,True
