,title,price,rating,availability
0,A Light in the Attic,51.77,3,True
1,Tipping the Velvet,53.74,1,True
2,Soumission,50.1,1,True
3,Sharp Objects,47.82,4,True
4,Sapiens: A Brief History of Humankind,54.23,5,True
5,The Requiem Red,22.65,1,True
6,The Dirty Little Secrets of Getting Your Dream Job,33.34,4,True
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,True
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,True
9,The Black Maria,52.15,1,True
10,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,True
11,Shakespeare's Sonnets,20.66,4,True
12,Set Me Free,17.46,5,True
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,True
14,Rip it Up and Start Again,35.02,5,True
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,True
16,Olio,23.88,1,True
17,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,True
18,Libertarianism for Beginners,51.33,2,True
19,It's Only the Himalayas,45.17,2,True
20,In Her Wake,12.84,1,True
21,How Music Works,37.32,2,True
22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,True
23,Chase Me (Paris Nights #2),25.27,5,True
24,Black Dust,34.53,5,True
25,Birdsong: A Story in Pictures,54.64,3,True
26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,True
27,Aladdin and His Wonderful Lamp,53.13,3,True
28,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,True
29,Wall and Piece,44.18,4,True
30,The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,True
31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,True
32,The Elephant Tree,23.82,5,True
33,The Bear and the Piano,36.89,1,True
34,Sophie's World,15.94,5,True
35,Penny Maybe,33.29,3,True
36,Maude (1883-1993):She Grew Up with the country,18.02,2,True
37,"In a Dark, Dark Wood",19.63,1,True
38,Behind Closed Doors,52.22,4,True
39,You can't bury them all: Poems,33.63,2,True
40,Slow States of Collapse: Poems,57.31,3,True
41,Reasons to Stay Alive,26.41,2,True
42,Private Paris (Private #10),47.61,5,True
43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,True
44,Without Borders (Wanderlove #1),45.07,2,True
45,When We Collided,31.77,1,True
46,"We Love You, Charlie Freeman",50.27,5,True
47,Untitled Collection: Sabbath Poems 2014,14.27,4,True
48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,True
49,Unicorn Tracks,18.78,3,True
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,True
51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,True
52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,True
53,This One Summer,19.49,4,True
54,Thirst,17.27,5,True
55,The Torch Is Passed: A Harding Family Story,19.09,1,True
56,The Secret of Dreadwillow Carse,56.13,1,True
57,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,True
58,The Past Never Ends,56.5,4,True
59,The Natural History of Us (The Fine Art of Pretending #2),45.22,3,True
60,The Nameless City (The Nameless City #1),38.16,4,True
61,The Murder That Never Was (Forensic Instincts #5),54.11,3,True
62,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,True
63,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,True
64,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,True
65,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,True
66,The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,True
67,The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,True
68,The Death of Humanity: and the Case for Life,58.11,4,True
69,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,True
70,The Art Forger,40.76,3,True
71,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,True
72,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,True
73,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,True
74,Soul Reader,39.58,2,True
75,Security,39.25,2,True
76,"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,True
77,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,True
78,Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,True
79,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,True
80,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,True
81,Princess Between Worlds (Wide-Awake Princess #5),13.34,5,True
82,"Pop Gun War, Volume 1: Gift",18.97,1,True
83,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,True
84,Patience,10.16,3,True
85,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,True
86,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,True
87,Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,True
88,On a Midnight Clear,14.07,3,True
89,Obsidian (Lux #1),14.86,2,True
90,My Paris Kitchen: Recipes and Stories,33.37,2,True
91,Masks and Shadows,56.4,2,True
92,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,True
93,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,True
94,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,True
95,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,True
96,"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,True
97,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,True
98,Join,35.67,5,True
99,In the Country We Love: My Family Divided,22.0,4,True
100,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,True
101,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,True
102,I am a Hero Omnibus Volume 1,54.63,3,True
103,How to Be Miserable: 40 Strategies You Already Use,46.03,1,True
104,Her Backup Boyfriend (The Sorensen Family #1),33.97,1,True
105,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,True
106,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,True
107,First and First (Five Boroughs #3),15.97,4,True
108,Fifty Shades Darker (Fifty Shades #2),21.96,1,True
109,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,True
110,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2,True
111,Danganronpa Volume 1,51.99,4,True
112,Crown of Midnight (Throne of Glass #2),43.29,3,True
113,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,True
114,Camp Midnight,17.08,4,True
115,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,True
116,Burning,28.81,3,True
117,Bossypants,49.46,2,True
118,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,True
119,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,True
120,Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,True
121,A World of Flavor: Your Gluten Free Passport,42.95,1,True
122,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5,True
123,A Murder in Time,16.64,1,True
124,A Flight of Arrows (The Pathfinders #2),55.53,5,True
125,A Fierce and Subtle Poison,28.13,4,True
126,A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,True
127,(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,5,True
128,You Are What You Love: The Spiritual Power of Habit,21.87,4,True
129,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,True
130,Tuesday Nights in 1980,21.04,2,True
131,Tracing Numbers on a Train,41.6,3,True
132,Throne of Glass (Throne of Glass #1),35.07,3,True
133,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,True
134,Thirteen Reasons Why,52.72,1,True
135,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,4,True
136,The Wedding Dress,24.12,1,True
137,The Vacationers,42.15,4,True
138,The Third Wave: An Entrepreneur’s Vision of the Future,12.61,5,True
139,The Stranger,17.44,4,True
140,The Shadow Hero (The Shadow Hero),33.14,1,True
141,The Secret (The Secret #1),27.37,4,True
142,The Regional Office Is Under Attack!,51.36,5,True
143,The Psychopath Test: A Journey Through the Madness Industry,36.0,2,True
144,The Project,10.65,1,True
145,The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,True
146,The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2,True
147,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5,True
148,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,True
149,The Mistake (Off-Campus #2),43.29,3,True
150,The Matchmaker's Playbook (Wingmen Inc. #1),55.85,1,True
151,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2,True
152,The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1,True
153,The Kite Runner,41.82,4,True
154,The House by the Lake,36.95,1,True
155,The Glittering Court (The Glittering Court #1),44.28,1,True
156,The Girl on the Train,55.02,2,True
157,The Genius of Birds,17.24,1,True
158,The Emerald Mystery,23.15,2,True
159,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1,True
160,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3,True
161,The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5,True
162,The Art of War,33.34,5,True
163,The Argonauts,10.93,2,True
164,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,True
165,Suddenly in Love (Lake Haven #1),55.99,2,True
166,Something More Than This,16.24,4,True
167,Soft Apocalypse,26.12,2,True
168,So You've Been Publicly Shamed,12.23,2,True
169,Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,True
170,"Shobu Samurai, Project Aryoku (#3)",29.06,3,True
171,Secrets and Lace (Fatal Hearts #1),20.27,1,True
172,Scarlett Epstein Hates It Here,43.55,5,True
173,Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,1,True
174,Redeeming Love,20.47,5,True
175,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,1,True
176,Poems That Make Grown Women Cry,14.19,4,True
177,"Nightingale, Sing",38.28,1,True
178,Night Sky with Exit Wounds,41.05,1,True
